Location,name,inASA,inASE,default,cli,info,version,status,type
Command line options,-disabledinonetrangescaling,Yes,No,,skip,"Disables creature's network replication range optimization.
Detailed explanation : On dedicated servers the network replication range is scaled dynamically based on the amount of connected players (Note: On PvP servers this replication range is scaled only for small tamed creatures and wild creatures, rather than all tames). The scaling of replication range allows to improve performances for servers with a high amount of connected players. This optimization can be disabled by adding <code>-disabledinonetrangescaling</code> in server startup options.",[[ARK: Survival Ascended/Patch/31.41|ASA 31.41]],,
Command line options,-DisableCustomFoldersInTributeInventories,Unknown,Yes,,skip,Disables creation of folders in Tribute inventories.,[[349.1]],,
Command line options,-DisableRailgunPVP,Unknown,Yes,,skip,Disables the [[Tek Railgun (Aberration)|Tek Railgun]] on [[PvP]] servers (on official servers this argument is not added to the command line).,[[349.1]],,
Command line options,-EasterColors,Yes,No,,skip,Chance for Easter colors when creatures spawn.,[[ARK: Survival Ascended/Patch/36.27|ASA 36.27]],,
Command line options,-EnableIdlePlayerKick,Yes,Yes,,skip,Cause characters that have not moved or interacted within the <code>KickIdlePlayersPeriod</code> ([[#GameUserSettings.ini|GameUserSettings.ini]]) to be kicked.,[[241.5]],,
Command line options,-epiconly,No,Yes,,skip,"Enables Epic Game Store only players to connect to the dedicated server.<br/>
{{Gamelink|sa}}: Obsolete since ASA is not available on Epic.",[[311.74]],,
Command line options,?EventColorsChanceOverride=<float>,Unknown,Yes,,skip,Takes a floating point value between 0 and 1.0 (1 = 100% chance for colour override). '''Note:''' This only affects freshly spawned wild creatures (you can use console command <code>Cheat DestroyWildDinos</code> to wipe wild creatures so that they all respawn with a chance of getting the event colors).,[[355.3]],,
Command line options,-exclusivejoin,Yes,Yes,,skip,"Activate a whitelist only mode on the server, allowing players to join if added to the allow list. For more info on whitelists, start with [[Server configuration#Ark_IDs|Ark IDs]].",,,
Command line options,-ForceAllowCaveFlyers,Yes,Yes,,skip,Force flyer creatures to be allowed into caves (Flyers able to go into caves by default on custom maps).,[[237.1]],,
Command line options,-ForceRespawnDinos,Yes,Yes,,skip,Launch with this command to destroy all wild creatures on server start-up. '''Note:''' this will only destroy wild creatures that are not currently tamed.,[[216.0]],,
Command line options,"?GameModIds=<ModID1>[,<ModID2>[...]]",No,Yes,,skip,"Steam only. Specifies the order and which mods are loaded, <code>ModIDs</code> need to be separated with commas (<code>,</code>). Mod priority is in descending order left to right (the left-most ID is the top priority mod). It is suggested to use instead the <code>ActiveMods</code> under <code>[ServerSettings]</code> of ''GameUserSettings.ini''.<br/>
{{Gamelink|sa}}: Obsolete, use argument <code>-mods</code> instead.",[[190.0]],,
Command line options,-GBUsageToForceRestart=<value>,Yes,No,35,skip,"Enabled an out of memory protection for servers. In the event that a server reaches an excessive amount of memory, the world will be forced saved and the server will be restarted to prevent crashes or rollbacks. Replace <code><value></code> with the wanted amount in gigabytes. Setting it to 0 disables.",[[ARK: Survival Ascended/Patch/26.32|ASA 26.32]],,
Command line options,-imprintlimit=101,Unknown,Yes,,skip,"Automatically destroys creatures exceeding the imprinting bonus limit specified, in %. It is recommended going 1% higher (101) to catch potential floating-point errors, especially when working with custom imprinting rates.",[[349.10]],,
Command line options,-insecure,No,Yes,,skip,Disable Valve Anti-Cheat (VAC) system.,[[241.5]],,
Command line options,-MapModID=<ModID>,No,Yes,,skip,"Dedicated servers can now optionally load custom maps via <code>ModID</code> directly, rather than having to specify the map name, using this syntax (where the <code>MapModID</code> is the Steam Workshop ID of your custom map, and the GameModIds are the Id’s of the stacked mods you wish to use, in order). <code>ActiveMods</code> must also be set in [[#GameUserSettings.ini|GameUserSettings.ini]].<br/>
{{gamelink|sa}}: Obsolete, use <code>-mods</code> argument instead. ASA no longer uses Steam Workshop mods and <code>ActiveMods</code> does not need to be set.",[[193.0]],,
Command line options,-MaxNumOfSaveBackups=<integer>,Unknown,Yes,20,skip,"Set the max number of backup to keeps in the save folder. Whenever a new backup is created, the oldest ones will be deleted. Since such backups take place every 2 hours and they are uncompressed files, it is suggested to use more flexible third party solutions, especially with bigger saves.<br/>'''Unofficial admins running [[2023_official_server_save_files|Official 2023 Server saves]] may want to set this to 0 when using other backup mechanisms.'''",,,
Command line options,?MapPlayerLocation=false,Unknown,Yes,,skip,Same as <code>ShowMapPlayerLocation</code> of [[#GameUserSettings.ini|GameUserSettings.ini]] (actually using this option will make the server write the <code>ShowMapPlayerLocation</code> entry).,[[170.0]],,
Command line options,-MinimumTimeBetweenInventoryRetrieval=<seconds>,Unknown,Yes,3600,skip,{{ItemLink|Fjordhawk}} cool-down in seconds on retrieval of player's inventory when killed.,[[351.5]],,
Command line options,"-mods=<ModId1>[,<ModId2>[...]]",Yes,No,,skip,Specifies [https://www.curseforge.com/ark-survival-ascended CurseForge] Mod Project IDs. Mods are updated automatically when starting the server.,{{ItemLink|ARK: Survival Ascended|&nbsp;}},,
Command line options,-MULTIHOME,Yes,Yes,,skip,Enables multihoming. <code>MULTIHOME=<IP_ADDRESS></code> must be specified as well in [[#GameUserSettings.ini|GameUserSettings.ini]] under <code>[SessionSettings]</code> or in the command line.,,,
Command line options,-newsaveformat,No,Yes,,skip,"Enables the new save format (version 11), which is quicker at saving cryopods and requires less storage space for them. Use only if necessary (e.g.: the default save format fails as well the old save format).<br/>'''This option must be used to start the [[2023_official_server_save_files|Official 2023 Server saves]] backups''' along with <code>-usestore</code> to correctly load tribe ownership.",[[244.5]],,
Command line options,?NewYear1UTC=<epoch time>,No,Yes,,skip,"You can use https://www.epochconverter.com to get your appropriate timestamp. Please keep in mind that this event cannot be run before Midnight EST on the 1st of January, so if you wish to change your time it would have to be set after that. Must be used with the with the <code>-NewYearEvent</code> command line option.",[[320.38]],,
Command line options,?NewYear2UTC=<epoch time>,No,Yes,,skip,"You can use https://www.epochconverter.com to get your appropriate timestamp. Please keep in mind that this event cannot be run before Midnight EST on the 1st of January, so if you wish to change your time it would have to be set after that. Must be used with the with the <code>-NewYearEvent</code> command line option.",[[320.38]],,
Command line options,-NewYearEvent,No,Yes,,skip,"Enables the [[ARK: Happy New Year!]] event; it will automatically start at Midnight EST and Noon EST on the 1st of January, unless specified with the following 2 options. This command was only available around the time it was scheduled.",[[320.38]],,
Command line options,-noantispeedhack,Unknown,Yes,,skip,Anti speedhack detection is now enabled by default — you now use this option to disable it.,[[218.5]],,
Command line options,-NoBattlEye,Yes,Yes,,skip,Run server without BattleEye.,[[253.0]],,
Command line options,-nocombineclientmoves,Unknown,Yes,,skip,"Server player move physics optimization is now enabled by default (improves performance) — to disable it, use this server option.",[[218.5]],,
Command line options,-NoDinos,Yes,Yes,,skip,"Prevents wild creatures from being spawned. In {{gamelink|sa}} enabling this option will make the following options unusable: <code>-NoDinosExceptForcedSpawn</code>, <code>-NoDinosExceptStreamingSpawn</code>, <code>-NoDinosExceptManualSpawn</code> and <code>-NoDinosExceptWaterSpawn</code>.<br/>
'''Note:''' wild creatures that were on the server before adding this argument will not get automatically destroyed (you can destroy them with console command <code>cheat destroywilddinos</code>).",,,
Command line options,-NoHangDetection,Unknown,Yes,,skip,Prevents the server from shutdown if its start-time takes more than 2700 seconds (45 minutes). Useful for servers with big saves or very slow machines. '''Note:''' this will disabled further server hangs detection.,[[246.7]],,
Command line options,-NotifyAdminCommandsInChat,Unknown,Yes,,skip,Displays <code>cheat</code> and <code>admincheat</code> commands to admin players only in the global chat. Not to be confused with <code>AdminLogging</code> which displays such commands to all players.,[[254.0]],,
Command line options,-noundermeshchecking,Unknown,Yes,,skip,Will turn off the anti-meshing system entirely.,[[304.445]],,
Command line options,-noundermeshkilling,Unknown,Yes,,skip,Will turn off the anti-meshing player kills (but still allow teleporting).,[[304.445]],,
Command line options,-NoWildBabies,Yes,No,,skip,Disables spawning of [[Wild babies|wild babies]].,{{ItemLink|ARK: Survival Ascended|&nbsp;}},,
Command line options,"-passivemods=<ModId1>[,<ModId2>[...]]",Yes,No,,skip,"This option disables a mod's functionality while still loading its data. This is useful if, for example, you want to have S-Dinos on Astraeos in your cluster but prevent them from spawning on The Island while still allowing them to be transferred back and forth.

*Note: The -passivemods function works the same as the regular mod list and will download the specified mod. It does not require the passive mod to also be in the regular mods list. [https://ark.wiki.gg/wiki/Talk:Server_configuration#Passive_Mods_Do_not_need_-mods=]",[[ARK: Survival Ascended/Patch/33.33|ASA 33.33]],,
Command line options,-port=<Server Port>,Yes,No,,skip,This is the server port used to host the dedicated server on. This is required if you want to run it on a port other than the default 7777.,{{ItemLink|ARK: Survival Ascended|&nbsp;}},,
Command line options,-PublicIPForEpic=<IPAddress>,No,Yes,,skip,"This is the public IP that EGS clients will attempt to connect to, if this option is missing and <code>-MULTIHOME</code> is specified, then EGS clients will attempt to connect to the multihome IP; note that if you're using multihome and specify a non-public IP address, then players will not be able to connect to your server using EGS. Make sure to set a public IP address (e.g.: WAN or external).",[[312.13]],,
Command line options,-pvedisallowtribewar,Unknown,Yes,,skip,"Prevents tribes in [[PvE]] mode to officially declare war on each other for mutually-agreed-upon period of time. Alternatively, it is possible to use the ''Game.ini'' <code>bPvEAllowTribeWar</code>.",[[298.31]],,
Command line options,-SecureSendArKPayload,Unknown,Yes,,skip,Add this option to protect against the creature upload issue. '''Note:''' be aware this may have an impact on some mods.,[[357.20]],,
Command line options,-ServerAllowAnsel,No,Yes,,skip,Sets the server to allow clients to use [[NVIDIA Ansel]]. See link for details on its support.,[[278.0]],,
Command line options,-servergamelog,Yes,Yes,,skip,"Enable server admin logs (including support in the RCON). Use RCON command <code>getgamelog</code> to print 100 entries at a time. Also, outputs to dated file in <code>\Logs</code>, adjust max length of the RCON buffer with the option <code>RCONServerGameLogBuffer=600</code>.",[[224.0]],,
Command line options,-servergamelogincludetribelogs,Yes,Yes,,skip,"Include tribe logs in the normal server game logs. Note that this is required to get the logs from RCON (using <code>-ServerRCONOutputTribeLogs</code>). Additionally, it will display them in the application's console.",[[254.0]],,
Command line options,-ServerRCONOutputTribeLogs,Yes,Yes,,skip,Include tribe logs in the RCON output (which can be recovered with console command <code>GetGameLog</code>). Requires <code>-servergamelogincludetribelogs</code>.,[[254.0]],,
Command line options,-ServerUseEventColors,Yes,No,,skip,Enables event colors.,[[56.15]],,
Command line options,-speedhackbias=<value>,Unknown,Yes,1.0,skip,Bias you can use on your server (can cause more rubber banding on laggy players).,[[219.0]],,
Command line options,-StasisKeepControllers,Yes,Yes,,skip,"If enabled, the server will keep Unreal Engine actors (e.g.: creatures) AI controller objects in memory when actors go in stasis. This favours performance when a portion of a map is rendered by a player and actors go out of stasis. However, especially on large maps, it will result in higher memory usage even with few or no players.",[[252.96]],,
Command line options,-structurememopts,Unknown,Yes,,skip,Enables structure memory optimizations. '''Note:''' avoid using it when running structure-related mods (until they get updated) as it can break the snap points of these mod structures.,[[295.108]],,
Command line options,-TotalConversionMod=<ModID>,Unknown,Yes,,skip,"Used to specify a total conversion mod (e.g.: [[Primitive Plus]]). Alternatively, <code>ActiveTotalConversion=<ModID></code> in [[#GameUserSettings.ini|GameUserSettings.ini]] can also be set.",,,
Command line options,-UseDynamicConfig,Yes,Yes,,skip,"Enables the use of the dynamic config, if you don't provide a <code>CustomDynamicConfigUrl</code> the server will use the default dynamic config for that platform (the one used on official server). '''Note:''' unless you force an immediate update using the [[Console Commands#ForceUpdateDynamicConfig|ForceUpdateDynamicConfig]] command, the configuration is checked every time the world is (auto)saved. When you want to ""undo"" the config you should be changing it back to whatever your default is, so it can be read from the updated config and thus applied. Omitting any lines will not update those options.",[[307.2]],,
Command line options,-UseItemDupeCheck,Unknown,Yes,,skip,"Enables additional dupe protection. '''Note:''' this could have an impact on mods, so use with caution.",[[333.13]],,
Command line options,-UseSecureSpawnRules,Unknown,Yes,,skip,"Enables an additional protection for items and creatures spawning.<br/>
'''Note:''' This protection is disabled by default since version [[349.27]], due to server crashes caused by certain mods. The mods in question should now work correctly, so you can now use this option without too much fear.",[[349.27]],,
Command line options,-usestore,Yes,Yes,,skip,"Same basic behaviour of official (non-legacy) servers on handling player characters data: character profile file (.arkprofile) is not saved separately from map save (.ark), nor its backup. When necessary (e.g.: a character just transferred or a new character has been created) a temporary character profile file is created and kept until next world-save. Tribe profiles are stored in a different format (.arktributetribe). Allows <code>-BackupTransferPlayerDatas</code> option (for fully mimic official servers save behaviour). Use the option <code>-converttostore</code> to convert previous non stored data to stored data.  '''This option must be used to correctly load the [[2023_official_server_save_files|Official 2023 Server saves]] backups''' along with <code>-newsaveformat</code>.",[[57.12]],,
Command line options,-UseStructureStasisGrid,Unknown,Yes,,skip,"Enables the structure stasis grid to improve server performance on large bases with lots of players<ref name=""life_tuning_system"">StudioWildcard (October 9, 2020) [https://survivetheark.com/index.php?/articles.html/community-crunch-241-fear-evolved-4-live-tuning-system-network-improvements-and-more-r1652 ""Live Tuning System""]. ''Community Crunch 241: Fear Evolved 4, Live Tuning System, Network Improvements, and More!''</ref>.",[[314.5]],,
Command line options,-UseVivox,No,Yes,,skip,Enables Vivox on Steam only servers. Default for EPIC servers but can be enabled for Steam server.,[[311.74]],,
Command line options,-webalarm,Unknown,Yes,,skip,"Activate Web alarms when important things happen to a tribe, such as Tripwire Alarms going off and Babies being born. See [[Web Notifications]] for details.",[[243.0]],,
Command line options,-WinLiveMaxPlayers=<integer>,Yes,No,70,skip,Sets the maximum of players for the server. This currently replaces the <code>MaxPlayers</code> setting from the [[#GameUserSettings.ini|GameUserSettings.ini]] option.,{{ItemLink|ARK: Survival Ascended|&nbsp;}},,
Command line options,-ClusterDirOverride=<PATH>,Yes,Yes,,skip,Specifies cross-server storage location for [[#Cross-ARK_Data_Transfer|Cross-ARK Data Transfer]]. Requires also <code>-clusterid=<CLUSTER_NAME></code> option to specify the cluster ID.,[[247.85]],,
Command line options,-clusterid=<CLUSTER_NAME>,Yes,Yes,,skip,Specifies cluster name ID to allow [[#Cross-ARK_Data_Transfer|Cross-ARK Data Transfer]].,[[247.85]],,
Command line options,-NoTransferFromFiltering,Yes,Yes,,skip,"Prevents ARK Data usage between single player and servers who do not have a cluster ID. Even with a cluster id set, it is suggested to keep this option to completely disable code path allowing it.",,,
Command line options,?bRawSockets,No,Yes,,skip,Direct UDP socket connections rather than Steam P2P. ''Deprecated since [[311.78]] and no longer present in the executable code''.,[[213.0]],deprecated,
Command line options,-ClearOldItems,Unknown,Yes,,skip,"Official [[PvP]] servers one-time Clearance of all old unequipped items (with the exception of blueprints, eatables, notes, and quest items), to ensure fairness after Item Duplication bug exploit. Server admins can enforce this once if they run with this command argument (will only work ''ONCE''' on pre-update save games). ''Deprecated and no longer present in the executable code''.",[[178.0]],deprecated,
Command line options,-forcenetthreading,No,Yes,,skip,"Defaulted dedicated server <code>?bRawSockets</code> mode to '''not''' use threaded networking, seemed to generally be a net performance loss. Use this to forcefully enable it. ''Deprecated since [[311.78]].''",[[271.17]],deprecated,
Command line options,-inlinesaveload,Unknown,Yes,,skip,"Fixed a save game corruption case with large saves: this is experimental, so try with this command, if you have any saves that don’t load. We’ll formally roll this loader change out in a subsequent patch after ''(Wildcard is)'' 100% certain it has no side effects. ''It should be no more needed, and is considered deprecated''.",[[214.0]],deprecated,
Command line options,-NoBiomeWalls,Unknown,Yes,,skip,Eliminates the upcoming biome change area wall effects as introduced in an undocumented addition of patch [[241.5]]. ''Deprecated since patch [[243.0]] and no longer present in the executable code''.,[[242.7]],deprecated,
Command line options,-nofishloot,Unknown,Yes,,skip,Disable non-meat fishing loot when using [[Fishing Rod]]. ''Deprecated since patch [[260.0]] and no longer present in the executable code''.,[[245.9]],deprecated,
Command line options,-nonetthreading,No,Yes,,skip,"Option for <code>?bRawSockets</code> servers to only utilize a single thread for networking (useful to improve performance for machines with more servers than CPU cores, on Linux in particular). ''Deprecated with patch [[271.17]] and no longer present in the executable code''.",[[271.15]],deprecated,
Command line options,-noninlinesaveload,Unknown,Yes,,skip,Prevented <code>-inlinesaveload</code> to happen. ''Deprecated and no longer present in the executable code''.,[[214.0]],deprecated,
Command line options,-oldsaveformat,Unknown,Yes,,skip,"Used to force the old save format. The default save format is based on the ''newsaveformat'', which is approximately 4x faster and 50% smaller. If you want to use the old save format, launch with this option.",[[244.6]],deprecated,
Command line options,-PVPDisablePenetratingHits,Unknown,Yes,,skip,Disable the [[Tek Railgun (Aberration)|Tek Railgun]]'s ability to shoot through walls. ''Replaced by <code>-DisableRailgunPVP</code> in [[349.1]] and no longer present in the executable code''.,[[345.25]],deprecated,
Command line options,-StructureDestructionTag=<newBiomesStructuresZones>,Unknown,Yes,,skip,"One-Time Auto-Structure Demolish <code><newBiomesStructuresZones></code> Zones: To do this, which you can only execute once after updating to patch 216, run your server or game with this option. <code><newBiomesStructuresZones></code> could be <code>DestroySwampSnowStructures</code> once updating to version [[216.0]] or <code>DestroyRedwoodSnowStructures</code> once updating to version [[243.0]]. ''Deprecated and no longer present in the executable code''.",[[216.0]],deprecated,
Command line options,-usecache,Unknown,Yes,,skip,"~70% faster loading speed option. Choose ""Experiment Fast Load Cache"" launch option (use add ""-usecache"" to your launch command line manually). After the first & second times that you start the game & load will be still be slow, but the third time onwards will be fast. ''Deprecated since [[188.2]] is enabled by default on all maps and no longer present in the executable code.''",[[188.1]],deprecated,
Command line options,-vday,Unknown,Yes,,skip,"Activated Valentine’s Day Event. ''Deprecated, use <code>-ActiveEvent=vday</code> instead.''",[[254.93]],deprecated,
Command line options,-AllowChatSpam,Unknown,Yes,,skip,Allows players to spam messages in server chat. '''Note:''' it may interfere with external plugins allowing cross-map chat. Undocumented by Wildcard.,,,
Command line options,-BackupTransferPlayerDatas,Unknown,Yes,,skip,"Fully mimic official (non-legacy) servers on handling player characters data, adding permanent character profile backup files separately from the world-save. Requires <code>-usestore</code> option. '''This option must be used to fully re-enable character profile backups when playing the [[2023_official_server_save_files|Official 2023 Server saves]] backups.''' Undocumented by Wildcard.",,,
Command line options,-BattlEyeServerRecheck,Unknown,Yes,,skip,Adds at every server tick an extra check about BattleEye service status. Used in official clusters. Undocumented by Wildcard.,,,
Command line options,-converttostore,Yes,Yes,,skip,Converts non stored data (default save behaviour of unofficial and legacy) to stored data (default save behaviour of official non-legacy) at next world-save. It will not delete older character profile saves. Requires <code>-usestore</code>. Documented by Wildcard in patch notes for ASA 57.12.,[[57.12]],,
Command line options,-CustomAdminCommandTrackingURL=<URL>,Unknown,Yes,,skip,Allows server to specify custom URL to post admin commands tracking. Supports HTTP protocols only (HTTPS is not supported). If the URL is empty the metrics should be written in a file named ''ArkCustomAdminCommandTrackingURL.txt'' in the game save directory. Undocumented by Wildcard.,,,
Command line options,-CustomMerticsURL=<URL>,Unknown,Yes,,skip,Allows server to specify custom URL to post server metrics statistics. Supports HTTP protocols only (HTTPS is not supported). If the URL is empty the metrics should be written in a file named ''ArkCustomMetricsURL.txt'' in the game save directory. Undocumented by Wildcard.,,,
Command line options,-CustomNotificationURL=<URL>,Yes,Yes,,skip,Allows server custom notification broadcast using the server message feature. Supports HTTP protocols only (HTTPS is not supported). Used in official clusters (e.g.: http://arkdedicated.com/pcnotification.html). Undocumented by Wildcard.,,,
Command line options,-dedihibernation,Unknown,Yes,,skip,Forces wild creatures to spawn in hibernation mode. Requires <code>-preventhibernation</code> to not be set (which doesn't have effects anyway in dedicated servers). Undocumented by Wildcard.,,,
Command line options,-disableCharacterTracker,Yes,No,,skip,"Used to disable character tracking. Alternatively, this option can be configured with <code>UseCharacterTracker</code> in file [[#GameUserSettings.ini|GameUserSettings.ini]] under <code>[ServerSettings]</code> section (note that the argument from command line has priority over the value set in [[#GameUserSettings.ini|GameUserSettings.ini]]). Undocumented by Wildcard.",,,
Command line options,-DisableDupeLogDeletes,Yes,Yes,,skip,Prevents <code>-ForceDupeLog</code> to take effect. Undocumented by Wildcard.,,,
Command line options,-DormancyNetMultiplier=<float>,Unknown,Yes,,skip,"Multiplier for dormancy rate, controlling when an NPC can enter in a low network bandwidth dormant mode. If value is less or equal to 1.0 requires <code>-nodormancythrottling</code>. Default is set at 1.0. Undocumented by Wildcard.",,,
Command line options,-EnableOfficialOnlyVersioningCode,Unknown,Yes,,skip,"Mimics official versioning code-path on ARK data items upload/download behaviour, deleting them if there is a version mismatch. Undocumented by Wildcard.",,,
Command line options,-EnableSteelShield,Yes,No,,skip,Used to enable [https://enterprise.nitrado.net/steelshield/ SteelShield] anti-DDOS protection. '''This only works when your server is hosted by Nitrado.''' Undocumented by Wildcard.,,,
Command line options,-EnableVictoryCoreDupeCheck,Unknown,Yes,,skip,Should enabled an extra anti-duping check on tamed creatures. Undocumented by Wildcard.,,,
Command line options,-forcedisablemeshchecking,Unknown,Yes,,skip,"Disables mesh checking on foliage re-population, not set on official. Undocumented by Wildcard.",,,
Command line options,-ForceDupeLog,Yes,Yes,,skip,"Forces dupe logs. Requires <code>-DisableDupeLogDeletes</code> to be not set, enabled behaviour on official. Undocumented by Wildcard.",,,
Command line options,-forceuseperfthreads,Yes,Unknown,,skip,Forces the use of performance threads. Undocumented by Wildcard.,,,
Command line options,-ignoredupeditems,Yes,Yes,,skip,"If a duped item is detected in an inventory, this will be ignored and not removed. This option does not disable duped items checks. Undocumented by Wildcard.",,,
Command line options,-ip=<ipv4_address>,Yes,no,,skip,Option found in Nitrado server setup. Expected to work in a <code>-MULTIHOME</code> context. Undocumented by Wildcard.,,,
Command line options,-MaxConnectionsPerIP=<integer>,Unknown,Yes,,skip,"Sets a limit of users connected to the server with the same IP at the same time. By default is -1 (virtually unlimited). If an IP reaches such value, any players trying to connect next with such IP will get a connect timeout. Undocumented by Wildcard.",,,
Command line options,-NitradoQueryPort,Yes,No,,skip,Specifics unknown. Undocumented by Wildcard.,,,
Command line options,-nitradotest2,Unknown,Yes,,skip,"Limits the tick-rate to 3 when there are no players connected. This can have a noticeable impact on CPU for large worlds since there will be less calls per second (less computation/memory allocation, etc.). But as its name clearly state, it seems to be an internal test so use at your own risks. Undocumented by Wildcard.",,,
Command line options,-NoAI,Yes,Unknown,,skip,This will disable adding AI controller to creatures. Undocumented by Wildcard.,,,
Command line options,-NoDinosExceptForcedSpawn,Yes,Unknown,,skip,"Prevents wild creatures from being spawned, except for forced spawns. You cannot use this option if <code>-NoDinos</code> is used. Enabling this option will make the following options unusable: <code>-NoDinosExceptStreamingSpawn</code>, <code>-NoDinosExceptManualSpawn</code> and <code>-NoDinosExceptWaterSpawn</code>. ''<b>Note:</b> wild creatures that were on the server before adding this argument will not get automatically destroyed (you can destroy them with console command <code>cheat destroywilddinos</code>)''. Undocumented by Wildcard.",,,
